coordinates/latitude,coordinates/longitude
39.90313,32.86493
39.8981983535398,32.8767682984471
39.8343961420175,32.6643645018339
39.89411,32.86775
39.90629,32.86029
39.89391,32.868
39.929446,32.8812659
39.83098,32.71216
39.9206266576208,32.8513218896934
39.92272,32.86751
39.92883,32.84519
39.8994187007146,32.8854226773759
39.8936,32.81687
39.89457,32.86663
40.6944,31.67671
39.8802984666187,32.8235492482781
39.8749057973182,32.8638230152388
39.89481,32.86673
40.246677,32.882572
39.88259,32.85492
39.90365,32.69887
39.84544,32.83194
39.9327200509338,32.8398718662704
39.9095976982084,32.8585728162955
39.912164,32.8613735
39.9014107388964,32.8836915028852
39.86619,32.84833
39.91335,32.86815
39.86496,32.85084
39.9027838655282,32.6995294190491
39.9158775788733,32.856837807806
39.91274,32.86683
39.8980669290541,32.8736396960577
39.8982435891805,32.8768325441803
39.89417,32.86683
39.8701675987009,32.6903111860156
39.86936,32.69003
39.8980872,32.8767789
39.8926066,32.8358012
39.9054,32.8803
39.89442,32.86846
39.88886,32.84567
39.8707349499552,32.7049168199301
39.8943,32.86662
39.89579,32.8673
39.92069,32.85905
39.92253,32.86617
39.8887683068513,32.8345954300528
39.92225,32.85731
39.8980872,32.8767789
39.89458,32.86763
39.91322,32.86704
39.9023419832569,32.6955309613769
39.8964,32.867
39.9022356,32.6953593
39.91695,32.8612
39.97185,32.65917
39.9087905124985,32.8595599923688
39.88788,32.84481
39.89177,32.87654
39.9135046,32.8583105
39.9327529583566,32.8398021288361
39.8930496,32.8479799
39.86493,32.84848
39.893179,32.860973
39.8466,32.85533
39.91889,32.86462
39.9084499,32.8605445
39.86524,32.84924
39.9212022087837,32.8494069049523
39.8712553048469,32.689543068409
39.9035603564361,32.8790456013994
39.89988,32.87751
39.9085818870523,32.8827059255493
39.9236,32.86784
39.9230833768787,32.8667519241571
40.6913889,31.762458
39.8996333276521,32.8773891264587
39.86357,32.84948
40.71602,31.76824
40.58611,31.01503
40.6522575,31.3791514
39.8767,32.84253
40.65424,31.38092
40.4590648984853,31.2153839067459
40.6781660678107,31.4416265487671
39.86554,32.84907
40.67461,31.504
39.9126,32.86088
39.9426933624848,32.8505002301443
40.71897,31.58258
39.9215017674662,32.8251770138741
39.9084499,32.8605445
40.73265,31.49397
40.6526581488877,31.3786771148443
40.73227,31.49474
39.9365625640075,32.8585871603271
39.8881241069862,32.8812672412544
40.1339927812916,32.9851129958525
40.02364,32.85909
39.86517,32.84997
39.964743,32.574993
40.5794741626861,30.8695599809289
39.889191509936,32.8723909333348
40.71826,31.58378
39.9250541138896,32.8526395951065
39.9097008,32.8829656
39.9068883170393,32.8671165251634
39.8631490774007,32.8526834397578
40.7325114,31.6037507
39.9368576915337,32.858857725795
39.899315,32.868143
39.89033,32.82338
40.66492,31.42981
39.8653328255463,32.8487714007497
40.72999,31.4497
39.86565,32.84913
39.8881225814314,32.8821374773331
39.8249,32.73625
40.6722711595486,31.4705516436073
39.9063439204763,32.8663311619019
39.9078914102029,32.8614499071026
39.8889700523392,32.8816177927885
39.97185,32.65917
39.8654890199995,32.84872982651
39.86583,32.84881
39.9159660930485,32.8670730859015
39.9246736,32.8583869
39.92173,32.85064
39.9340470179944,32.8590279076995
39.9084499,32.8605445
40.7498069012151,31.3840156962911
40.72972,31.48869
39.86307,32.8525
39.9250952527724,32.8525269423279
39.89358,32.86767
39.9780268796992,32.6290606524078
39.90027,32.87815
40.73096,31.48898
39.9366119223645,32.8586086179993
39.864927760846,32.6474431157112
39.89457,32.86723
40.71706,31.76
39.91105,32.85783
39.9545263832082,32.9041707676773
39.87159,32.68859
39.8940057183858,32.8610159153654
39.9001563150451,32.8843382094453
40.73188,31.49298
39.83785,32.69948
39.889877817376,32.862030543997
39.91582857508,32.8564655523365
40.6472,31.44716
39.88922,32.84663
39.89356,32.86196
40.04202,32.33986
39.89416,32.85797
39.89359,32.86617
40.73387,31.49413
39.8982058804484,32.8744494798352
39.8824935252988,32.8549239327881
39.9084868517991,32.8605231642723
39.89391,32.868
39.8991,32.87697
39.90662,32.86809
39.9712658602918,32.8743747621775
39.88868,32.84576
39.89351,32.86079
39.89391,32.868
39.90132,32.86654
40.70257,31.76576
39.901223789644,32.8845937732237
39.9275032556163,32.8312905034904
39.893179,32.860973
39.94365,32.85376
39.92211,32.86642
39.84865,32.85646
39.932827,32.8397914
39.9163984948883,32.8692925338409
39.86634,32.84989
39.97674,32.83169
39.9408518,32.8968456
39.89998,32.8786
39.9084499,32.8605445
39.8583336152782,32.6505509140554
39.9251909926737,32.8261010348797
39.92257,32.84723
39.8605628239011,32.8237041458488
39.86294,32.84994
39.8980872,32.8767789
39.86373,32.8497
39.97237,32.87463
39.93277,32.86522
39.9065638874579,32.8669624775648
39.86496,32.84949
39.8616504189083,32.812267405759
39.9712694575142,32.8743653744459
39.9712576380686,32.8743801265955
39.8423819893242,32.8512628376484
39.86627,32.84753
39.9185604251273,32.8709789337787
39.894411997967,32.8612879291177
39.8541720604094,32.6494807959042
39.89867,32.87691
39.8215293939488,32.7744359120204
39.9096768,32.8829505
39.8970330810842,32.8743883773848
39.9258,32.858843
39.885884,32.876022
39.86461,32.84996
39.9108372,32.8614106
39.9580337436614,32.8360999748111
39.8980872,32.8767789
39.8493758273868,32.8557282620309
39.8892874896328,32.8831601933295
39.860451471077,32.8225160490738
39.91875,32.86268
39.86579,32.84929
39.87193,32.84405
39.9090080877475,32.8704480438611
39.92203,32.86716
39.893179,32.860973
39.89428,32.86667
39.9078954574565,32.8867133812426
39.9156757277366,32.8673250353824
39.913541526057,32.868181657063
39.8758634300816,32.8308768755561
39.8980872,32.8767789
39.95373,32.74282
39.9248319610577,32.8413298248151
39.88875,32.84643
39.92397,32.86657
39.86453,32.84818
39.88872,32.85111
39.94421,32.8537
39.92205,32.86717
39.893179,32.860973
39.8950566241573,32.8349107192972
39.8459069673276,32.8539558295169
39.8980872,32.8767789
39.87512,32.84133
39.893179,32.860973
39.9003,32.85004
39.89035,32.87141
39.86424,32.85027
39.8980872,32.8767789
39.92333,32.86732
39.8714010706412,32.844587067115
39.8980872,32.8767789
39.9225066329871,32.859956882894
39.8943,32.86846
39.92501,32.87183
39.971309540004,32.8743653744459
39.8970455840796,32.8361914634774
39.86377,32.85102
39.8938206164396,32.8571127355099
39.89526,32.86062
39.87197,32.65462
39.8980872,32.8767789
39.9712792214025,32.874365709722
39.88748,32.87778
39.854521640037,32.646439261177
39.8980872,32.8767789
39.89274,32.86148
39.89526,32.86667
39.86516,32.84953
39.89377,32.86837
39.9288085999355,32.8806505749233
39.92414,32.86611
39.8494754344627,32.856030165633
39.89389,32.86039
39.86118,32.82246
39.91358,32.86867
39.90283,32.64337
39.89901,32.87719
39.89489,32.86781
39.88879,32.87326
39.87146,32.84403
39.89391,32.868
39.89378,32.86013
39.91142,32.8589
39.8962,32.84716
